Next Page Token = CfDJ8E2Nv-_xTuFMnx6IZ-XCV9y3I7kwo2sQmWTWa0CZAVvpA7ThL8JkRaECckie7sOsiz7r8qD9hLW32k7_-gHWuh0
teamId,teamName,submissionDate,score
14798945,i.won.a.maths.debate,2026-02-17 04:26:50.773000,44
15016752,Neeraj,2026-02-12 21:59:04.496000,44
15119426,Hrithik Reddy,2026-02-13 06:23:18.483000,44
14809153,Varra,2026-02-17 00:44:20.473000,44
14827487,Pai,2026-02-15 20:25:38.086000,44
14953109,Aman,2026-02-17 07:28:37.533000,44
15235944,ttytaen,2026-02-11 21:48:16.960000,44
14984751,Boris Liskovets,2026-02-17 00:04:10.243000,44
14914988,Harrabi Raouf,2026-02-17 00:13:36.260000,44
14808304,Gliding Moran,2026-02-16 00:00:09.626000,43
14805139,Neer,2026-02-02 03:16:24.656000,43
14805125,Rustam Bazarbayev,2026-02-16 10:01:02.046000,43
14821453,Math not mathing,2026-02-16 09:43:19.196000,43
14989279,reyvan14,2026-02-13 23:25:11.296000,43
14833324,101,2026-02-16 10:40:30.190000,43
14807228,diego.exe,2026-02-15 05:08:08.496000,43
14831713,lkevincc,2026-02-12 03:18:23.313000,43
14838627,lon guo,2026-02-10 06:19:09.063000,43
14863504,chasing 45 :),2026-02-16 09:20:55.313000,43
14798938,THUNDER THUNDER,2026-01-20 08:28:29.366000,43
